Component,G_lavaan,S1_lavaan,S2_lavaan,S3_lavaan,nihtbx_cardsort_uncorrected,nihtbx_flanker_uncorrected,nihtbx_list_uncorrected,nihtbx_pattern_uncorrected,nihtbx_picture_uncorrected,nihtbx_picvocab_uncorrected,nihtbx_reading_uncorrected,pea_ravlt_sd_tc,pea_ravlt_ld_tc,pea_wiscv_trs,lmt_scr_num_correct
1,4.19266328438251,-1.42093438702618,1.86853716369707,1.18346085621046,3.68006012884878,2.48232489947016,2.78835193155589,2.41846183055618,1.80524332007967,3.62428212715346,0.928583130548989,1.97684818412864,3.29077787420369,3.7040972741882,3.29811197988973
2,-2.18727349130583,-0.972515243776423,-0.805866515758578,-0.434780673968922,-1.46370971225143,-0.197869548913054,0.0287792498294217,-1.80378471319999,-0.249942376727055,-2.63314410161074,-1.90146786622691,-1.55293069398618,-1.24205532975111,-1.86379086590411,-1.4677677342181
3,-8.07190042247547,-1.64122917279332,0.00238163278397008,-2.03180586422348,-5.14938780237891,-2.14689662349042,-3.88828710262069,-2.83333632991506,-2.84173833323699,-9.91204399864452,-5.91796547724599,-4.69266414631879,-5.02050682896825,-6.49045003173175,-2.82224083917518
4,-1.15469500391632,0.756080587661965,3.12608226424051,-0.506287302686036,2.68168106180713,-0.133724073621476,-0.805886673504425,2.14949106652151,0.40649418951283,-2.48897294586896,0.309749628842028,-1.03682445080076,-0.306143225979469,-1.63813762308307,0.0450853955367754
5,-8.13184278839447,-1.02648471373116,1.13198560926343,-1.16154631805805,-1.88177935298418,-1.87001869239574,-4.66683902873468,-1.65613867963899,-2.92176644409541,-6.70445347175053,-4.76310536439669,-5.44524684493548,-3.37075712879667,-6.90497426435811,-4.32157229609863
6,-0.646489301019744,3.79282895749476,-0.0359873114121757,-0.196233491104135,-1.21321386828944,-0.301832972530499,-0.888882483665284,0.704535476346254,-1.74623078679504,-0.896764628448169,2.990718856712,0.642721909337823,-1.02543801760911,-1.44688727429807,1.58111760894473
7,-1.88567526537577,0.243068530192166,-2.39689249665321,-2.39435847855839,-2.32631617530644,-1.31502367534663,-0.475648571355934,-3.63630689081013,-2.3838176649329,-0.516089093222788,-0.766787369276463,-3.14875848646956,-2.84883567352615,1.15746031796629,-1.36940273585466
8,2.68124434627339,-0.556905525301726,-0.731345256631969,1.77582472760111,0.930367260535153,0.53386960940401,2.18510506920519,-0.112271687084478,2.76563541980934,1.15991610819056,0.342556762479682,2.19594634869844,2.60712779276915,1.45676928074604,0.190706186412236
9,0.689588798225881,2.95163924943916,-1.38885722976122,-0.872344845200737,-0.402776765772232,-0.402598694105078,-0.34403003031416,-1.16358439295141,-0.583145001267459,0.736493198618479,3.12370480923288,-0.327777882220657,-0.797079557048852,1.4768112473363,0.571397110403858
10,-6.3543514843524,-5.7395679758727,2.53826762830149,0.313311751476647,-1.83168737877831,-0.391318648902029,-4.88350727450927,0.842006892113243,-0.903117784643326,-8.50744445088771,-8.29544019792069,-2.0978230192107,-2.49833477932235,-4.14696707352144,-1.13114056734943
